lat, lon, freq
-38.05906, 141.2841, 708
-37.5035, 141.2841, 539
-36.94794, 141.2841, 1077
-36.39239, 141.2841, 1476
-35.83683, 141.2841, 323
-35.28128, 141.2841, 240
-34.72572, 141.2841, 171
-34.17017, 141.2841, 81
-37.22572, 141.7652, 506
-37.78128, 141.7652, 353
-38.33683, 141.7652, 214
-37.22572, 141.7652, 0
-36.67017, 141.7652, 907
-36.11461, 141.7652, 671
-35.55906, 141.7652, 613
-35.0035, 141.7652, 191
-34.44794, 141.7652, 216
-37.5035, 142.2463, 1075
-38.05906, 142.2463, 344
-37.5035, 142.2463, 0
-36.94794, 142.2463, 1264
-36.39239, 142.2463, 643
-35.83683, 142.2463, 422
-35.28128, 142.2463, 382
-34.72572, 142.2463, 250
-37.22572, 142.7275, 604
-37.78128, 142.7275, 1569
-38.33683, 142.7275, 102
-37.22572, 142.7275, 0
-36.67017, 142.7275, 1122
-36.11461, 142.7275, 271
-35.55906, 142.7275, 148
-35.0035, 142.7275, 436
-37.5035, 143.2086, 2003
-38.05906, 143.2086, 1111
-38.61461, 143.2086, 168
-37.5035, 143.2086, 0
-36.94794, 143.2086, 750
-36.39239, 143.2086, 592
-35.83683, 143.2086, 367
-35.28128, 143.2086, 474
-37.22572, 143.6897, 858
-37.78128, 143.6897, 1339
-38.33683, 143.6897, 565
-37.22572, 143.6897, 0
-36.67017, 143.6897, 717
-36.11461, 143.6897, 773
-35.55906, 143.6897, 415
-37.5035, 144.1708, 408
-38.05906, 144.1708, 885
-37.5035, 144.1708, 0
-36.94794, 144.1708, 398
-36.39239, 144.1708, 574
-35.83683, 144.1708, 90
-37.22572, 144.652, 252
-37.78128, 144.652, 291
-38.33683, 144.652, 39
-37.22572, 144.652, 0
-36.67017, 144.652, 832
-36.11461, 144.652, 318
-37.5035, 145.1331, 237
-38.05906, 145.1331, 120
-38.61461, 145.1331, 12
-37.5035, 145.1331, 0
-36.94794, 145.1331, 347
-36.39239, 145.1331, 433
-35.83683, 145.1331, 198
-37.22572, 145.6142, 371
-37.78128, 145.6142, 645
-38.33683, 145.6142, 56
-38.89239, 145.6142, 0
-37.22572, 145.6142, 0
-36.67017, 145.6142, 624
-36.11461, 145.6142, 1572
-37.5035, 146.0953, 666
-38.05906, 146.0953, 659
-38.61461, 146.0953, 79
-39.17017, 146.0953, 18
-37.5035, 146.0953, 0
-36.94794, 146.0953, 427
-36.39239, 146.0953, 1200
-37.22572, 146.5765, 559
-37.78128, 146.5765, 1291
-38.33683, 146.5765, 790
-38.89239, 146.5765, 17
-37.22572, 146.5765, 0
-36.67017, 146.5765, 591
-36.11461, 146.5765, 735
-37.5035, 147.0576, 994
-38.05906, 147.0576, 563
-37.5035, 147.0576, 0
-36.94794, 147.0576, 909
-36.39239, 147.0576, 464
-37.22572, 147.5387, 840
-37.78128, 147.5387, 765
-37.22572, 147.5387, 0
-36.67017, 147.5387, 502
-36.11461, 147.5387, 1007
-37.5035, 148.0198, 3173
-37.5035, 148.0198, 0
-36.94794, 148.0198, 353
-36.39239, 148.0198, 238
-37.22572, 148.501, 3811
-37.78128, 148.501, 1086
-37.22572, 148.501, 0
-37.5035, 148.9821, 1262
-37.5035, 148.9821, 0
-37.22572, 149.4632, 620
-37.5035, 149.9443, 170
-37.5035, 149.9443, 0
