lat,lon
-37.3285,149.355
-37.2868,149.022
-37.6618,148.805
-37.4368,148.763
-37.1535,148.68
-37.814,148.5701
-37.4368,148.255
-36.9118,148.213
-37.8075,147.95
-36.6535,147.738
-37.2544,147.6086
-36.1452,147.58
-37.752,147.555
-36.5452,147.214
-36.0868,147.063
-37.7718,146.955
-37.5103,146.9548
-37.5103,146.9548
-38.5035,146.922
-38.0891,146.9050667
-36.9452,146.848
-37.7452,146.605
-36.3831,146.552
-36.0035,146.53
-37.3452,146.482
-36.8824,146.3763
-36.8824,146.3763
-38.07045,146.3465667
-38.4766,146.324
-38.9125,146.254
-36.1868,146.188
-37.88,146
-37.518,145.8572
-37.518,145.8572
-36.0142,145.8
-38.1452,145.75
-36.4483,145.6448
-36.4483,145.6448
-36.8582,145.5357
-36.0775,145.3404
-36.0775,145.3404
-36.5702,145.122
-37.0868,144.93
-36.3238,144.5711
-36.7396,144.5359
-36.7396,144.5359
-38.1535,144.188
-36.2531,144.0702
-37.3,144
-37.7,143.9
-38.45,143.9
-35.5535,143.813
-36.831,143.6822
-37.37660889,143.6002
-36.241,143.5209
-37.9944,143.4181
-38.4702,143.397
-35.2,143.263
-34.8535,143.2
-37.0997,143.1954
-35.5952,143.188
-36.5,143
-37.5466,142.9872
-38.0617,142.972
-35.8497,142.9236
-36.84376889,142.7602
-35.0506,142.7556
-34.7422,142.5549
-36.0648,142.4847
-35.3802,142.4169
-37.3905,142.3535
-36.7952,142.3349
-37.9571,142.3011
-36.38704889,142.0402
-35.2324,141.9614
-36.8228,141.8019
-37.4452,141.788
-38.0868,141.747
-36.2127,141.6412
-36.2127,141.6412
-34.7422,141.5549
-35.5,141.5
-35.93032889,141.3202
-37.9702,141.163
-36.7474,141.1166
-36.7474,141.1166
-34.7921,141.1
-36.3509,141.1
-37.2027,141.1
